                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.10606,                0.03002,                0.10308,                0.76697,                0.98946,                      1,                  0.995,                0.98572,                0.98946,                      1,                  0.995,                 0.9688,                0.22215,                0.56317,                 0.2131,                0.77528,              0.0009506,              0.0009506,              0.0009506
                     55,                0.10566,                0.02842,                0.10222,                0.76676,                0.99911,                      1,                  0.995,                0.98379,                0.99911,                      1,                  0.995,                0.96746,                0.21919,                0.50203,                0.21161,                0.77659,              0.0009308,              0.0009308,              0.0009308
                     56,                 0.1111,                 0.0332,                0.10626,                0.76689,                0.98439,                      1,                0.99489,                0.98913,                0.98439,                      1,                0.99489,                0.97191,                0.21724,                0.40219,                0.19895,                 0.7747,               0.000911,               0.000911,               0.000911
                     57,                 0.1003,                0.03274,                0.09881,                0.76597,                0.99912,                      1,                  0.995,                0.98685,                0.99912,                      1,                  0.995,                0.96713,                0.19987,                0.38503,                0.19498,                0.77267,              0.0008912,              0.0008912,              0.0008912
                     58,                0.10969,                0.03385,                0.10648,                0.76654,                 0.9856,                      1,                0.99489,                0.97498,                 0.9856,                      1,                0.99489,                0.97197,                0.20679,                0.44021,                0.21694,                0.77616,              0.0008714,              0.0008714,              0.0008714
                     59,                 0.0992,                0.02879,                 0.0978,                0.76578,                0.98598,                      1,                0.99489,                0.98873,                0.98598,                      1,                0.99489,                0.96855,                0.20165,                0.51117,                0.19871,                0.77456,              0.0008516,              0.0008516,              0.0008516
                     60,                0.09641,                0.02635,                0.09597,                0.76557,                0.98799,                      1,                  0.995,                0.98782,                0.98799,                      1,                  0.995,                0.96737,                0.20626,                0.49862,                 0.2001,                  0.775,              0.0008318,              0.0008318,              0.0008318
                     61,                0.09864,                0.02941,                0.09744,                0.76566,                0.98796,                      1,                  0.995,                 0.9815,                0.98796,                      1,                  0.995,                0.97059,                0.20807,                0.39968,                 0.1998,                0.77428,               0.000812,               0.000812,               0.000812
                     62,                0.10181,                0.02712,                0.09779,                0.76569,                0.98803,                      1,                0.99356,                0.98316,                0.98803,                      1,                0.99356,                0.96474,                 0.2041,                0.40602,                0.20376,                0.77438,              0.0007922,              0.0007922,              0.0007922
                     63,                0.11407,                0.02794,                0.10873,                0.76647,                0.99933,                      1,                  0.995,                0.98061,                0.99933,                      1,                  0.995,                0.96467,                0.19698,                0.64783,                0.19274,                0.77564,              0.0007724,              0.0007724,              0.0007724
                     64,                0.10435,                0.02838,                0.10218,                0.76623,                0.98759,                      1,                0.99489,                0.98128,                0.98759,                      1,                0.99489,                0.96797,                0.19847,                 0.6514,                0.19471,                 0.7761,              0.0007526,              0.0007526,              0.0007526
